time,theta,omega,energy
3.000000000000000000e+00,-5.522372453029152917e-01,-3.429424394451314750e-01,-8.292968269045170260e+00
3.010000000000000231e+00,-5.554093567201467962e-01,-2.914798440011895364e-01,-8.292926277472753682e+00
3.020000000000000018e+00,-5.580655188420096113e-01,-2.397525803713836390e-01,-8.292896889677498606e+00
3.030000000000000249e+00,-5.602033022316863509e-01,-1.878040975639537757e-01,-8.292877882711605864e+00
3.040000000000000036e+00,-5.618207118945673928e-01,-1.356778350122549992e-01,-8.292867016180542450e+00
3.050000000000000266e+00,-5.629161871979246889e-01,-8.341722565919791610e-02,-8.292862035808806098e+00
3.060000000000000053e+00,-5.634886018289315679e-01,-3.106570054217128868e-02,-8.292860676789084451e+00
3.070000000000000284e+00,-5.635372638043089077e-01,2.133330546671884098e-02,-8.292860666969918526e+00
3.080000000000000071e+00,-5.630619155413842947e-01,7.373634711820084564e-02,-8.292859729939726421e+00
3.089999999999999858e+00,-5.620627339967934066e-01,1.260999617999716826e-01,-8.292855588067141070e+00
3.100000000000000089e+00,-5.605403308754453029e-01,1.783806624696342713e-01,-8.292845965558463206e+00
3.109999999999999876e+00,-5.584957529087479777e-01,2.305349308698326771e-01,-8.292828591593156773e+00
3.120000000000000107e+00,-5.559304821974593303e-01,2.825192113878966516e-01,-8.292801203597210957e+00
3.129999999999999893e+00,-5.528464366109250294e-01,3.342899059189553546e-01,-8.292761550712404173e+00
3.140000000000000124e+00,-5.492459702309009373e-01,3.858033700858523596e-01,-8.292707397516435819e+00
3.149999999999999911e+00,-5.451318738246653250e-01,4.370159111612693104e-01,-8.292636528045134625e+00
3.160000000000000142e+00,-5.405073753287228389e-01,4.878837880272313132e-01,-8.292546750163104718e+00
3.169999999999999929e+00,-5.353761403211136916e-01,5.383632134946017000e-01,-8.292435900323457787e+00
3.180000000000000160e+00,-5.297422724571894115e-01,5.884103592902607538e-01,-8.292301848750721405e+00
3.189999999999999947e+00,-5.236103138407262048e-01,6.379813640023911381e-01,-8.292142505073540448e+00
3.200000000000000178e+00,-5.169852452994410097e-01,6.870323442546507620e-01,-8.291955824425677690e+00
3.209999999999999964e+00,-5.098724865313777332e-01,7.355194093580089687e-01,-8.291739814024792210e+00
