source,target,distance_m,weight
168,856,105881.97766888498,105.88197766888499
169,849,462060.7367186152,462.0607367186152
172,479,443984.6627018611,443.9846627018611
173,830,77135.16672426545,77.13516672426545
175,682,185412.12763868106,185.41212763868106
177,736,211385.35529809672,211.38535529809673
178,684,284994.1229525068,284.9941229525068
179,587,381734.8661643367,381.73486616433667
180,194,163551.85043219227,163.55185043219225
180,394,418691.9628485492,418.69196284854917
181,206,386102.58273728646,386.10258273728647
181,770,94580.72462495953,94.58072462495953
182,785,466968.60907448636,466.9686090744864
183,280,355127.16228882957,355.1271622888296
184,637,249377.87589612644,249.37787589612643
185,218,271079.60466476064,271.07960466476067
187,320,118786.95631041592,118.78695631041592
187,685,329723.40445918293,329.7234044591829
187,802,446544.3002246261,446.5443002246261
188,295,473326.5070604671,473.32650706046707
189,239,419509.1060672632,419.5091060672632
189,468,196888.73194017497,196.88873194017498
190,370,359059.49044366804,359.05949044366804
190,422,68836.65430564516,68.83665430564517
191,197,15915.984384185565,15.915984384185565
192,401,141190.37634799504,141.19037634799506
193,346,353842.0210683015,353.8420210683015
193,414,235149.2731396374,235.1492731396374
193,839,491305.81388881314,491.30581388881313
194,643,491114.9658159678,491.1149658159678
195,293,280241.7725310027,280.2417725310027
195,330,175819.74785551525,175.81974785551526
195,564,109691.33123683238,109.69133123683238
195,607,387569.8551266203,387.5698551266203
195,734,453020.09653762105,453.02009653762104
196,719,195627.40539582568,195.6274053958257
202,254,404467.46013628406,404.46746013628405
202,387,403401.1312848242,403.4011312848242
202,576,471022.7841737745,471.0227841737745
202,597,263891.12596743414,263.89112596743416
202,670,358176.50670959847,358.17650670959847
203,401,496216.1596116422,496.2161596116422
203,748,480793.31363258907,480.79331363258905
204,662,266498.2202970245,266.49822029702455
206,770,295344.7362287743,295.3447362287743
207,683,88393.63586751239,88.39363586751239
209,239,491856.559578753,491.85655957875304
209,726,265498.16774937196,265.498167749372
210,425,380501.0368511549,380.5010368511549
212,277,74007.40388874167,74.00740388874166
212,352,239070.5590446846,239.07055904468461
212,591,412345.31063675147,412.3453106367515
214,315,461214.24478645064,461.21424478645065
214,560,473052.20926414937,473.0522092641494
215,542,392137.30986258143,392.13730986258145
215,663,249964.271524525,249.96427152452497
216,410,345596.63411139284,345.59663411139286
216,702,277957.0937555124,277.9570937555124
217,398,488196.7390452434,488.1967390452434
217,723,240071.71633431176,240.07171633431176
221,533,478696.8940653553,478.6968940653553
221,686,190893.90308325776,190.89390308325775
